Timestamp,Server,Host,Ping,App_Port,Admin_Port,HTTP,Status
2025-08-21 16:37:53,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 21.9}","{'success': True, 'port': 8080, 'response_time': 23.6, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.9, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:37:53,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 22.0}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 4.7, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:38:26,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 42.0}","{'success': True, 'port': 8080, 'response_time': 2.9, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.9, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:38:26,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 23.6}","{'success': True, 'port': 80, 'response_time': 2.9, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.2, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:38:26,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 19.2}","{'success': True, 'port': 8080, 'response_time': 3.1, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.0, 'status': 'OPEN'}",200 (0.08s),ONLINE
2025-08-21 16:38:26,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 34.9}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 15.7, 'status': 'OPEN'}",,ONLINE
2025-08-21 16:38:58,SFCS 116,147.1.0.116,"{'success': True, 'response_time': 42.6}","{'success': True, 'port': 8080, 'response_time': 3.4, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 3.6, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:38:58,SFCS 40,147.1.160.40,"{'success': True, 'response_time': 20.7}","{'success': True, 'port': 80, 'response_time': 2.8, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.4, 'status': 'OPEN'}",200 (0.07s),ONLINE
2025-08-21 16:38:58,SFCS 130,147.0.0.130,"{'success': True, 'response_time': 22.9}","{'success': True, 'port': 8080, 'response_time': 2.3, 'status': 'OPEN'}","{'success': True, 'port': 4848, 'response_time': 2.5, 'status': 'OPEN'}",200 (0.09s),ONLINE
2025-08-21 16:38:58,SFCS 61,147.1.0.61,"{'success': True, 'response_time': 25.4}","{'success': False, 'port': 8080, 'response_time': 0, 'status': 'CLOSED', 'error': 'Connection failed (code: 10061)'}","{'success': True, 'port': 4848, 'response_time': 15.6, 'status': 'OPEN'}",,ONLINE
